TERM environment variable not set.
/home/1771/.bashrc: line 42: cd: ../../work/ccei_biomass/users/wangyf: No such file or directory
Adding package `anaconda/5.2.0:python3` to your environment
-- Open MPI job setup complete (on r00n33):
--  mpi job startup      = /work/ccei_biomass/users/wangyf/py3/bin/mpirun
--  nhosts               = 1
--  nproc                = 1
--  nproc-per-node       = 1
--  cpus-per-proc        = 1

-- Open MPI environment flags:
--  OMPI_MCA_btl_base_exclude=tcp
--  OMPI_MCA_rmaps_base_display_map=true
--  OMPI_MCA_orte_hetero_nodes=true
--  OMPI_MCA_hwloc_base_binding_policy=core
--  OMPI_MCA_rmaps_base_mapping_policy=core

    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
  69     7.10          4.86143        7         0.259145         0.472086      1.14m
  70     7.16          5.38735        7         0.253292         0.499488      1.14m
  71     7.06          6.58448        7         0.252666         0.502294      1.06m
  72     7.07          6.89902        7         0.260408         0.465881      1.06m
  73     7.06          6.56778        7         0.258362         0.475881     59.65s
  74     7.18          6.21449        7         0.253543         0.498353     59.42s
  75     7.13          6.25125        7         0.253885         0.496807     55.26s
  76     7.13           7.0806        7         0.256563         0.484441     53.50s
  77     7.08          5.31543        7         0.255575         0.489056     52.48s
  78     7.13          6.35621        7         0.258862         0.473462     48.47s
  79     7.11          6.72771        7         0.256109         0.486572     48.31s
  80     7.12          6.25051        7         0.260577          0.46504     44.72s
  81     7.16          5.86063        7         0.257265         0.481127     43.92s
  82     7.06          7.54637        7         0.262229         0.456725     46.46s
  83     7.14          6.32039        7         0.258994         0.472821     42.86s
  84     7.16          7.17162        7         0.258606         0.474702     36.41s
  85     7.11          7.63355        7         0.257758          0.47878     33.93s
  86     6.99          5.59392        7          0.25519         0.490836     36.22s
  87     7.18          7.13457        7         0.256724         0.483687     33.15s
  88     7.19          4.79421        7         0.259225         0.471697     27.20s
  89     7.12          4.97828        7         0.258945         0.473062     24.20s
  90     7.13          7.60503        7          0.25414         0.495648     21.07s
  91     7.11          5.26755        7         0.256199         0.486149     18.75s
  92     7.02          8.11696        7         0.257792         0.478616     16.99s
  93     7.02          6.57616        7         0.257038         0.482201     14.07s
  94     7.11          5.48508        7         0.248458         0.520589     12.22s
  95     7.14          6.15508        7         0.259509         0.470312      9.43s
  96     7.19          9.00851        7          0.25872         0.474151      7.08s
  97     7.16          7.48747        7         0.259556          0.47008      4.91s
  98     7.11          6.48528        7         0.257636          0.47936      2.36s
  99     7.11          5.75847        7         0.259212          0.47176      0.00s
div(mul(X1, X1), div(X0, 0.575))
Model gp_Ea: 
 mae: 0.21218466879206818 
 rmse: 0.26355601910267407 
 r2: 0.9322670214720982 
 pearsonr: (0.9725541872170276, 3.120791417270286e-63) 

