TERM environment variable not set.
/home/1771/.bashrc: line 42: cd: ../../work/ccei_biomass/users/wangyf: No such file or directory
Adding package `anaconda/5.2.0:python3` to your environment
-- Open MPI job setup complete (on r00n29):
--  mpi job startup      = /work/ccei_biomass/users/wangyf/py3/bin/mpirun
--  nhosts               = 1
--  nproc                = 1
--  nproc-per-node       = 1
--  cpus-per-proc        = 1

-- Open MPI environment flags:
--  OMPI_MCA_btl_base_exclude=tcp
--  OMPI_MCA_rmaps_base_display_map=true
--  OMPI_MCA_orte_hetero_nodes=true
--  OMPI_MCA_hwloc_base_binding_policy=core
--  OMPI_MCA_rmaps_base_mapping_policy=core

    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
  95     7.09          2.67743        7         0.255868         0.493543     10.28s
  96     7.10          3.07743        7         0.258899         0.479306      8.73s
  97     7.05          4.07045        7         0.258978         0.478931      4.99s
  98     7.09          3.28362        7         0.258856         0.479515      2.41s
  99     7.09          3.03251        7         0.260636         0.470881      0.00s
mul(mul(0.568, X1), div(X1, X0))
Model gp_Ea: 
 mae: 0.2109426577794984 
 rmse: 0.26239945152590666 
 r2: 0.9319791677860618 
 pearsonr: (0.9725541872170275, 3.1207914172708873e-63) 

